station,datetime,obs_type,obs_value,TMAX_F,datetime_dt,year
SZ000006717,18640202,TMAX,-5.6,21.92,1864-02-02,1864
SZ000006717,18641214,TMAX,-5.6,21.92,1864-12-14,1864
SZ000006717,18640201,TMAX,-5.6,21.92,1864-02-01,1864
CA006158350,18640216,TMAX,-5.6,21.92,1864-02-16,1864
GME00125218,18640115,TMAX,-5.5,22.1,1864-01-15,1864
AU000005901,18640121,TMAX,-5.5,22.1,1864-01-21,1864
BE000006447,18641216,TMAX,-5.5,22.1,1864-12-16,1864
SZ000006717,18640116,TMAX,-5.4,22.28,1864-01-16,1864
SZ000006717,18641211,TMAX,-5.4,22.28,1864-12-11,1864
GME00125218,18640211,TMAX,-5.4,22.28,1864-02-11,1864
GM000004204,18640118,TMAX,-5.3,22.46,1864-01-18,1864
SZ000006717,18641111,TMAX,-5.3,22.46,1864-11-11,1864
SZ000006717,18640114,TMAX,-5.3,22.46,1864-01-14,1864
SZ000006717,18640319,TMAX,-5.1,22.82,1864-03-19,1864
SZ000006717,18641126,TMAX,-5.1,22.82,1864-11-26,1864
SZ000006717,18641220,TMAX,-5.1,22.82,1864-12-20,1864
SZ000006717,18640406,TMAX,-5.1,22.82,1864-04-06,1864
SZ000006717,18641216,TMAX,-5.1,22.82,1864-12-16,1864
SZ000006717,18640227,TMAX,-5.1,22.82,1864-02-27,1864
BE000006447,18641225,TMAX,-5.1,22.82,1864-12-25,1864
BE000006447,18641226,TMAX,-5.1,22.82,1864-12-26,1864
SZ000006717,18641208,TMAX,-5.1,22.82,1864-12-08,1864
SZ000006717,18641219,TMAX,-5.1,22.82,1864-12-19,1864
BE000006447,18641224,TMAX,-5.1,22.82,1864-12-24,1864
AU000005901,18640115,TMAX,-5.0,23.0,1864-01-15,1864
EZE00100082,18641217,TMAX,-5.0,23.0,1864-12-17,1864
AU000005901,18640101,TMAX,-5.0,23.0,1864-01-01,1864
ITE00100550,18640114,TMAX,-5.0,23.0,1864-01-14,1864
SZ000006717,18640409,TMAX,-5.0,23.0,1864-04-09,1864
SZ000006717,18640203,TMAX,-5.0,23.0,1864-02-03,1864
AU000005901,18641226,TMAX,-5.0,23.0,1864-12-26,1864
ITE00100554,18640117,TMAX,-5.0,23.0,1864-01-17,1864
ITE00100550,18640118,TMAX,-5.0,23.0,1864-01-18,1864
SZ000006717,18640327,TMAX,-4.9,23.18,1864-03-27,1864
ITE00100554,18640118,TMAX,-4.9,23.18,1864-01-18,1864
SZ000006717,18641215,TMAX,-4.9,23.18,1864-12-15,1864
SZ000006717,18641015,TMAX,-4.9,23.18,1864-10-15,1864
SZ000006717,18641113,TMAX,-4.9,23.18,1864-11-13,1864
GME00125218,18640119,TMAX,-4.8,23.36,1864-01-19,1864
EZE00100082,18640212,TMAX,-4.8,23.36,1864-02-12,1864
AU000005901,18640107,TMAX,-4.8,23.36,1864-01-07,1864
SZ000006717,18640204,TMAX,-4.8,23.36,1864-02-04,1864
SZ000006717,18640301,TMAX,-4.8,23.36,1864-03-01,1864
SZ000006717,18640225,TMAX,-4.6,23.72,1864-02-25,1864
GME00125218,18641215,TMAX,-4.6,23.72,1864-12-15,1864
AU000005901,18640111,TMAX,-4.5,23.9,1864-01-11,1864
GME00125218,18641217,TMAX,-4.5,23.9,1864-12-17,1864
SZ000006717,18641213,TMAX,-4.5,23.9,1864-12-13,1864
AU000005901,18640108,TMAX,-4.5,23.9,1864-01-08,1864
GM000004204,18640211,TMAX,-4.4,24.08,1864-02-11,1864
SZ000006717,18641212,TMAX,-4.4,24.08,1864-12-12,1864
SZ000006717,18640217,TMAX,-4.4,24.08,1864-02-17,1864
SZ000006717,18641129,TMAX,-4.3,24.259999999999998,1864-11-29,1864
ITE00100550,18640113,TMAX,-4.3,24.259999999999998,1864-01-13,1864
SZ000006717,18641114,TMAX,-4.3,24.259999999999998,1864-11-14,1864
AU000005901,18640120,TMAX,-4.3,24.259999999999998,1864-01-20,1864
GM000004204,18641217,TMAX,-4.3,24.259999999999998,1864-12-17,1864
EZE00100082,18641218,TMAX,-4.3,24.259999999999998,1864-12-18,1864
AU000005901,18640106,TMAX,-4.3,24.259999999999998,1864-01-06,1864
GME00125218,18640108,TMAX,-4.3,24.259999999999998,1864-01-08,1864
SZ000006717,18640223,TMAX,-4.3,24.259999999999998,1864-02-23,1864
SZ000006717,18640325,TMAX,-4.2,24.439999999999998,1864-03-25,1864
SZ000006717,18640407,TMAX,-4.2,24.439999999999998,1864-04-07,1864
SZ000006717,18641227,TMAX,-4.2,24.439999999999998,1864-12-27,1864
SZ000006717,18641115,TMAX,-4.1,24.62,1864-11-15,1864
